"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cuenta de usuario","Crear aprendiz exitoso","SUCCESS","2023-04-25T19:46:00.9334971-05:00[America/Bogota]","0.0","0.58"
"Crear cuenta de usuario","Envío de datos para la creación de usuario administrador vacíos","SUCCESS","2023-04-25T19:46:01.5785175-05:00[America/Bogota]","0.0","1.54"
"Crear cuenta de usuario","Envío de datos para la creación de usuario aprendiz vacíos","SUCCESS","2023-04-25T19:46:03.1569982-05:00[America/Bogota]","0.0","1.48"
"Crear cuenta de usuario","Creacion usuarios admin con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-25T19:46:04.6608921-05:00[America/Bogota]","0.0","2.35"
"Crear cuenta de usuario","Creacion usuarios aprendiz con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-25T19:46:07.0261004-05:00[America/Bogota]","0.0","2.32"
"Crear cuenta de usuario","Crear admin con un correo invalido","SUCCESS","2023-04-25T19:46:11.4365032-05:00[America/Bogota]","0.0","0.44"
"Crear cuenta de usuario","Crear aprendiz con un correo invalido","SUCCESS","2023-04-25T19:46:11.8972429-05:00[America/Bogota]","0.0","0.48"
"Crear ruta de aprendizaje","crear rutas de aprendizaje de manera exitosa","SUCCESS","2023-04-25T19:38:39.9783811-05:00[America/Bogota]","0.0","11.61"
"Crear ruta de aprendizaje","crear rutas de aprendizaje  agregando cursos que no existen","SUCCESS","2023-04-25T19:38:51.6153681-05:00[America/Bogota]","0.0","0.49"
"Crear ruta de aprendizaje","crear rutas de aprendizaje sin cursos","SUCCESS","2023-04-25T19:38:52.1319296-05:00[America/Bogota]","0.0","0.48"
"Crear ruta de aprendizaje","crear rutas de aprendizaje con campos vacíos","SUCCESS","2023-04-25T19:38:52.6316783-05:00[America/Bogota]","0.0","1.42"
"Obtener rutas de aprendizaje","obtener todas las rutas de aprendizaje","SUCCESS","2023-04-25T19:39:23.4975931-05:00[America/Bogota]","0.0","8.47"
"Crear curso de aprendizaje para la pagina de MatCafe","crear cursos de aprendizaje de manera exitosa","SUCCESS","2023-04-25T19:36:05.2431927-05:00[America/Bogota]","0.0","11.11"
"Crear curso de aprendizaje para la pagina de MatCafe","crear cursos de aprendizaje con campos vacios en el campus de MatCafe","SUCCESS","2023-04-25T19:36:16.3865008-05:00[America/Bogota]","0.0","2.49"
"Crear curso de aprendizaje para la pagina de MatCafe","crear cursos de aprendizaje con un id de admin inexistente","SUCCESS","2023-04-25T19:36:18.908477-05:00[America/Bogota]","0.0","1.61"
"Calificar taller","Calificar reto exitoso","SUCCESS","2023-04-25T19:45:15.6421067-05:00[America/Bogota]","0.0","9.56"
"Calificar taller","Calificar reto con valores limite","SUCCESS","2023-04-25T19:45:25.2863283-05:00[America/Bogota]","0.0","2.09"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje de manera exitosa","SUCCESS","2023-04-25T19:38:03.1705613-05:00[America/Bogota]","0.0","13.31"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje dejando campos vacios","SUCCESS","2023-04-25T19:38:16.5024189-05:00[America/Bogota]","0.0","1.95"
"Editar curso del campus MatCafe","Editar cursos de aprendizaje sin un id de administrador","SUCCESS","2023-04-25T19:38:18.46843-05:00[America/Bogota]","0.0","1.46"
"Editar curso del campus MatCafe","Intentar editar un curso de aprendizaje que no existe","SUCCESS","2023-04-25T19:38:19.9503702-05:00[America/Bogota]","0.0","1.42"
"Obtener todos los cursos disponibles","Obtener cursos disponibles","SUCCESS","2023-04-25T19:36:52.2122725-05:00[America/Bogota]","0.0","9.44"
"Obtener un curso especifico","obtener curso con un id especifico de forma exitosa","SUCCESS","2023-04-25T19:37:23.1861911-05:00[America/Bogota]","0.0","12.16"
"Actualizar ruta de aprendizaje","actualizar rutas de aprendizaje enviando caracteres especiales","SUCCESS","2023-04-25T19:40:48.1183144-05:00[America/Bogota]","0.0","2.17"
"Actualizar ruta de aprendizaje","actualizar rutas de aprendizaje con id no registrados","SUCCESS","2023-04-25T19:40:52.3676292-05:00[America/Bogota]","0.0","0.97"
"Obtener ruta de aprendizaje por id","obtener ruta de aprendizaje por id","SUCCESS","2023-04-25T19:40:03.9596772-05:00[America/Bogota]","0.0","10.37"
"Buscar cuentas por email","Busqueda de cuenta exitosa","SUCCESS","2023-04-25T19:44:09.7948665-05:00[America/Bogota]","0.0","10.3"
"Buscar aprendices por email","Busqueda de aprendiz exitosa","SUCCESS","2023-04-25T19:43:36.967933-05:00[America/Bogota]","0.0","9.65"
"Buscar administrador por email","Busqueda de administrador exitosa","SUCCESS","2023-04-25T19:43:06.9917158-05:00[America/Bogota]","0.0","9.3"
