"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cuenta de usuario","Crear administrador exitoso","FAILURE","2023-04-25T19:45:48.4905346-05:00[America/Bogota]","0.0","11.98"
"Crear cuenta de usuario","Crear administrador existente","FAILURE","2023-04-25T19:46:09.368283-05:00[America/Bogota]","0.0","0.5"
"Crear cuenta de usuario","Crear aprendiz existente","FAILURE","2023-04-25T19:46:09.8846633-05:00[America/Bogota]","0.0","0.53"
"Crear cuenta de usuario","Crear administrador con correo de un aprendiz","FAILURE","2023-04-25T19:46:10.4323137-05:00[America/Bogota]","0.0","0.47"
"Crear cuenta de usuario","Crear aprendiz con correo de un administrador","FAILURE","2023-04-25T19:46:10.9207418-05:00[America/Bogota]","0.0","0.49"
"Crear ruta de aprendizaje","crear rutas de aprendizaje con caracteres especiales","FAILURE","2023-04-25T19:38:54.069564-05:00[America/Bogota]","0.0","4.01"
"Crear ruta de aprendizaje","crear rutas de aprendizaje que ya existe","FAILURE","2023-04-25T19:38:58.1021179-05:00[America/Bogota]","0.0","0.52"
"Calificar taller","Calificar reto con id de curso incorrecta","FAILURE","2023-04-25T19:45:27.4153933-05:00[America/Bogota]","0.0","0.58"
"Obtener un curso especifico","obtener curso con un id especifico que no existe","FAILURE","2023-04-25T19:37:35.3767128-05:00[America/Bogota]","0.0","2.04"
"Actualizar ruta de aprendizaje","actualizar rutas de aprendizaje de manera exitosa","FAILURE","2023-04-25T19:40:37.9001276-05:00[America/Bogota]","0.0","9.89"
"Actualizar ruta de aprendizaje","actualizar rutas de aprendizaje enviando campos vacios con admin Id y Id validos","FAILURE","2023-04-25T19:40:50.3145936-05:00[America/Bogota]","0.0","2.03"
"Obtener ruta de aprendizaje por id","Envio de un id  que no estaregistrado","FAILURE","2023-04-25T19:40:14.366225-05:00[America/Bogota]","0.0","2.56"
"Buscar cuentas por email","Busqueda de cuentas fallida","FAILURE","2023-04-25T19:44:20.1351229-05:00[America/Bogota]","0.0","2.2"
"Buscar aprendices por email","Busqueda de aprendiz fallida","FAILURE","2023-04-25T19:43:46.7014586-05:00[America/Bogota]","0.0","2.28"
"Buscar administrador por email","Busqueda de admin fallida","FAILURE","2023-04-25T19:43:16.3853412-05:00[America/Bogota]","0.0","2.1"
