"Story","Title","Result","Date","Stability","Duration (s)"
"Crear cuenta de usuario","Crear administrador exitoso","FAILURE","2023-04-25T19:45:48.4905346-05:00[America/Bogota]","0.0","11.98"
"Crear cuenta de usuario","Crear aprendiz exitoso","SUCCESS","2023-04-25T19:46:00.9334971-05:00[America/Bogota]","0.0","0.58"
"Crear cuenta de usuario","Envío de datos para la creación de usuario administrador vacíos","SUCCESS","2023-04-25T19:46:01.5785175-05:00[America/Bogota]","0.0","1.54"
"Crear cuenta de usuario","Envío de datos para la creación de usuario aprendiz vacíos","SUCCESS","2023-04-25T19:46:03.1569982-05:00[America/Bogota]","0.0","1.48"
"Crear cuenta de usuario","Creacion usuarios admin con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-25T19:46:04.6608921-05:00[America/Bogota]","0.0","2.35"
"Crear cuenta de usuario","Creacion usuarios aprendiz con caracteres especiales y numericos en el nombre","SUCCESS","2023-04-25T19:46:07.0261004-05:00[America/Bogota]","0.0","2.32"
"Crear cuenta de usuario","Crear administrador existente","FAILURE","2023-04-25T19:46:09.368283-05:00[America/Bogota]","0.0","0.5"
"Crear cuenta de usuario","Crear aprendiz existente","FAILURE","2023-04-25T19:46:09.8846633-05:00[America/Bogota]","0.0","0.53"
"Crear cuenta de usuario","Crear administrador con correo de un aprendiz","FAILURE","2023-04-25T19:46:10.4323137-05:00[America/Bogota]","0.0","0.47"
"Crear cuenta de usuario","Crear aprendiz con correo de un administrador","FAILURE","2023-04-25T19:46:10.9207418-05:00[America/Bogota]","0.0","0.49"
"Crear cuenta de usuario","Crear admin con un correo invalido","SUCCESS","2023-04-25T19:46:11.4365032-05:00[America/Bogota]","0.0","0.44"
"Crear cuenta de usuario","Crear aprendiz con un correo invalido","SUCCESS","2023-04-25T19:46:11.8972429-05:00[America/Bogota]","0.0","0.48"
